
Начало новой программы
[20 ноября 2018 | 10:53:14][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:53:14][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:53:15][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:53:15][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:53:15][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:53:15][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:53:15][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:53:16][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:53:17][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:53:17][Robot]-Робот прошел вперед
[20 ноября 2018 | 10:53:17][Robot]-Робот упаковал деталь
[20 ноября 2018 | 10:53:20][Robot]-Робот прошел назад
[20 ноября 2018 | 10:53:20][Robot]-Робот прошел назад
[20 ноября 2018 | 10:53:20][Robot]-Робот прошел назад
[20 ноября 2018 | 10:53:20][Robot]-Робот прошел назад
[20 ноября 2018 | 10:53:20][Robot]-Робот прошел назад
[20 ноября 2018 | 10:53:21][Robot]-Робот прошел назад
[20 ноября 2018 | 10:53:21][Robot]-Робот прошел назад
[20 ноября 2018 | 10:53:21][Robot]-Робот прошел назад
[20 ноября 2018 | 10:53:21][Robot]-Робот прошел назад
[20 ноября 2018 | 10:53:21][Robot]-Робот прошел назад
[20 ноября 2018 | 10:53:22][Robot]-Робот прошел назад
[20 ноября 2018 | 10:53:22][Robot]-Робот прошел назад
[20 ноября 2018 | 10:53:22][Robot]-Робот прошел назад
[20 ноября 2018 | 10:53:22][Robot]-Робот прошел назад
[20 ноября 2018 | 10:53:23][Robot]-Робот прошел назад
[20 ноября 2018 | 10:53:23][Robot]-Робот прошел назад
[20 ноября 2018 | 10:53:23][Robot]-Робот прошел назад
[20 ноября 2018 | 10:53:23][Robot]-Робот прошел назад
[20 ноября 2018 | 10:53:24][Robot]-Робот прошел назад
[20 ноября 2018 | 10:53:24][Robot]-Робот прошел назад
[20 ноября 2018 | 10:53:24][Robot]-Робот прошел назад
[20 ноября 2018 | 10:53:24][Robot]-Робот прошел назад
[20 ноября 2018 | 10:53:24][Robot]-Робот прошел назад
[20 ноября 2018 | 10:53:25][Robot]-Робот прошел назад
[20 ноября 2018 | 10:53:25][Robot]-Робот прошел назад
[20 ноября 2018 | 10:53:25][Robot]-Робот прошел назад
